"측정일자","권역명","측정소명","미세먼지(㎍/㎥)","초미세먼지(㎍/㎥)","오존(ppm)","이산화질소농도(ppm)","일산화탄소농도(ppm)","아황산가스농도(ppm)"
"20220524","도심권","중구","32","22","0.046","0.019","0.3","0.003"
"20220524","도심권","종로구","33","20","0.047","0.017","0.4","0.003"
"20220524","도심권","용산구","35","22","0.052","0.019","0.3","0.003"
"20220524","서북권","은평구","44","29","0.042","0.016","0.4","0.003"
"20220524","서북권","서대문구","38","23","0.041","0.017","0.4","0.004"
"20220524","서북권","마포구","32","17","0.045","0.019","0.3","0.003"
"20220524","동북권","광진구","34","19","0.04","0.018","0.3","0.003"
"20220524","동북권","성동구","37","21","0.047","0.023","0.3","0.003"
"20220524","동북권","중랑구","36","19","0.048","0.019","0.3","0.003"
"20220524","동북권","동대문구","37","18","0.053","0.016","0.3","0.003"
"20220524","동북권","성북구","48","24","0.039","0.02","0.4","0.002"
"20220524","동북권","도봉구","41","23","0.049","0.015","0.6","0.003"
"20220524","동북권","강북구","38","21","0.049","0.012","0.3","0.003"
"20220524","동북권","노원구","41","26","0.036","0.02","0.4","0.003"
"20220524","서남권","강서구","37","20","0.041","0.019","0.3","0.003"
"20220524","서남권","구로구","43","24","0.045","0.015","0.3","0.003"
"20220524","서남권","영등포구","31","19","0.041","0.017","0.3","0.003"
"20220524","서남권","동작구","33","20","0.048","0.017","0.3","0.003"
"20220524","서남권","관악구","33","19","0.044","0.019","0.3","0.003"
"20220524","서남권","금천구","29","16","0.044","0.021","0.3","0.003"
"20220524","서남권","양천구","35","21","0.04","0.015","0.3","0.002"
"20220524","동남권","강남구","33","18","0.049","0.02","0.3","0.003"
"20220524","동남권","서초구","37","20","0.043","0.02","0.3","0.003"
"20220524","동남권","송파구","36","20","0.036","0.022","0.3","0.003"
"20220524","동남권","강동구","35","19","0.042","0.017","0.3","0.003"
"20220523","도심권","중구","62","44","0.075","0.019","0.5","0.004"
"20220523","도심권","종로구","64","42","0.075","0.017","0.6","0.004"
"20220523","도심권","용산구","67","46","0.078","0.016","0.5","0.004"
"20220523","서북권","은평구","87","56","0.073","0.015","0.6","0.003"
"20220523","서북권","서대문구","74","48","0.083","0.018","0.7","0.005"
"20220523","서북권","마포구","63","37","0.075","0.017","0.4","0.003"
"20220523","동북권","광진구","63","39","0.068","0.012","0.5","0.003"
"20220523","동북권","성동구","67","38","0.074","0.019","0.4","0.004"
"20220523","동북권","중랑구","64","37","0.072","0.016","0.5","0.003"
"20220523","동북권","동대문구","71","39","0.078","0.017","0.5","0.003"
"20220523","동북권","성북구","84","47","0.068","0.02","0.6","0.003"
"20220523","동북권","도봉구","71","43","0.08","0.014","0.9","0.004"
"20220523","동북권","강북구","71","43","0.072","0.014","0.5","0.003"
"20220523","동북권","노원구","65","42","0.075","0.014","0.5","0.003"
"20220523","서남권","강서구","70","43","0.075","0.019","0.5","0.004"
"20220523","서남권","구로구","80","46","0.076","0.013","0.5","0.003"
"20220523","서남권","영등포구","61","43","0.069","0.016","0.5","0.003"
"20220523","서남권","동작구","63","41","0.071","0.014","0.5","0.003"
"20220523","서남권","관악구","65","41","0.071","0.015","0.5","0.003"
"20220523","서남권","금천구","60","37","0.069","0.016","0.5","0.004"
"20220523","서남권","양천구","65","42","0.071","0.014","0.5","0.003"
"20220523","동남권","강남구","63","39","0.074","0.018","0.5","0.004"
"20220523","동남권","서초구","72","46","0.073","0.016","0.5","0.003"
"20220523","동남권","송파구","66","38","0.063","0.018","0.5","0.003"
"20220523","동남권","강동구","64","39","0.069","0.012","0.4","0.003"
"20220522","도심권","중구","33","24","0.058","0.011","0.4","0.003"
"20220522","도심권","종로구","36","24","0.06","0.009","0.4","0.003"
"20220522","도심권","용산구","39","27","0.064","0.009","0.3","0.003"
"20220522","서북권","은평구","43","32","0.057","0.009","0.4","0.003"
"20220522","서북권","서대문구","41","24","0.064","0.011","0.5","0.004"
"20220522","서북권","마포구","36","19","0.056","0.012","0.3","0.003"
"20220522","동북권","광진구","39","24","0.054","0.009","0.4","0.003"
"20220522","동북권","성동구","41","22","0.059","0.012","0.3","0.003"
"20220522","동북권","중랑구","41","25","0.057","0.011","0.3","0.003"
"20220522","동북권","동대문구","42","23","0.061","0.009","0.3","0.003"
"20220522","동북권","성북구","48","29","0.053","0.013","0.4","0.002"
"20220522","동북권","도봉구","43","25","0.064","0.008","0.6","0.003"
"20220522","동북권","강북구","42","26","0.058","0.008","0.3","0.002"
"20220522","동북권","노원구","41","27","0.063","0.008","0.4","0.003"
"20220522","서남권","강서구","38","20","0.058","0.01","0.4","0.003"
"20220522","서남권","구로구","41","22","0.058","0.007","0.3","0.003"
"20220522","서남권","영등포구","34","23","0.053","0.008","0.4","0.003"
"20220522","서남권","동작구","37","24","0.057","0.008","0.3","0.002"
"20220522","서남권","관악구","36","23","0.053","0.009","0.4","0.003"
"20220522","서남권","금천구","34","20","0.054","0.009","0.3","0.003"
"20220522","서남권","양천구","35","22","0.054","0.008","0.3","0.002"
"20220522","동남권","강남구","38","23","0.06","0.01","0.3","0.003"
